world_cup_year,match_id,source_match_id,stage,group_name,match_date,home_team,away_team,stadium,city,host_country,attendance,stadium_capacity,final_flag,extra_time_flag,penalty_flag,attendance_status,metadata_source_url,attendance_source_url
2010,2010_23,M-2010-23,group stage,Group C,2010-06-18,England,Algeria,Cape Town Stadium,Cape Town,South Africa,64100.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_24,M-2010-24,group stage,Group E,2010-06-19,Netherlands,Japan,Moses Mabhida Stadium,Durban,South Africa,62010.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_25,M-2010-25,group stage,Group D,2010-06-19,Ghana,Australia,Royal Bafokeng Stadium,Rustenburg,South Africa,34812.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_26,M-2010-26,group stage,Group E,2010-06-19,Cameroon,Denmark,Loftus Versfeld Stadium,Pretoria,South Africa,38074.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_27,M-2010-27,group stage,Group F,2010-06-20,Slovakia,Paraguay,Free State Stadium,Bloemfontein,South Africa,26643.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_28,M-2010-28,group stage,Group F,2010-06-20,Italy,New Zealand,Mbombela Stadium,Nelspruit,South Africa,38229.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_29,M-2010-29,group stage,Group G,2010-06-20,Brazil,Ivory Coast,Soccer City,Johannesburg,South Africa,84455.0,84000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_30,M-2010-30,group stage,Group G,2010-06-21,Portugal,North Korea,Cape Town Stadium,Cape Town,South Africa,63644.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_31,M-2010-31,group stage,Group H,2010-06-21,Chile,Switzerland,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,34872.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_32,M-2010-32,group stage,Group H,2010-06-21,Spain,Honduras,Ellis Park Stadium,Johannesburg,South Africa,54386.0,56000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_33,M-2010-33,group stage,Group A,2010-06-22,France,South Africa,Free State Stadium,Bloemfontein,South Africa,39415.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_34,M-2010-34,group stage,Group A,2010-06-22,Mexico,Uruguay,Royal Bafokeng Stadium,Rustenburg,South Africa,33425.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
