world_cup_year,host_country,match_id,stage,match_date,home_team,away_team,stadium,city,attendance,stadium_capacity,attendance_status,final_flag,extra_time_flag,penalty_flag,host_team_flag,opening_match_flag,avg_per_match_benchmark_m,final_benchmark_m,opening_benchmark_m,stage_weight,attendance_ratio,attendance_factor,host_factor,suspense_factor,raw_index,scale_factor,override_viewers_m,estimated_global_viewers_m,model_note,source_bridge
2010,South Africa,2010_13,group stage,2010-06-15,Ivory Coast,Portugal,Nelson Mandela Bay Stadium,Port Elizabeth,37034.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8817619047619047,1.1145285714285713,1.0,1.0,0.9139134285714284,171.1086389255962,,156.37848285868222,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_14,group stage,2010-06-15,Brazil,North Korea,Ellis Park Stadium,Johannesburg,54331.0,56000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9701964285714286,1.1410589285714285,1.0,1.0,0.9356683214285714,171.1086389255962,,160.1009329654401,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_15,group stage,2010-06-16,Honduras,Chile,Mbombela Stadium,Nelspruit,32664.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.7966829268292683,1.0890048780487804,1.0,1.0,0.8929839999999999,171.1086389255962,,152.7972768223346,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_16,group stage,2010-06-16,Spain,Switzerland,Moses Mabhida Stadium,Durban,62453.0,63000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9913174603174603,1.1473952380952381,1.0,1.0,0.9408640952380952,171.1086389255962,,160.989974750153,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_17,group stage,2010-06-16,South Africa,Uruguay,Loftus Versfeld Stadium,Pretoria,42658.0,43000,real_match_attendance,0,0,0,1,0,188.4,909.6,0.0,0.82,0.992046511627907,1.147613953488372,1.25,1.0,1.1763043023255813,171.1086389255962,,201.27582813325324,Modeled from Layer A average-per-match benchmark; stage=group stage; host-team uplift; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_18,group stage,2010-06-17,Argentina,South Korea,Soccer City,Johannesburg,82174.0,84000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9782619047619048,1.1434785714285713,1.0,1.0,0.9376524285714285,171.1086389255962,,160.44043083813696,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_19,group stage,2010-06-17,Greece,Nigeria,Free State Stadium,Bloemfontein,31593.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.7705609756097561,1.0811682926829267,1.0,1.0,0.8865579999999998,171.1086389255962,,151.6977327085987,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_20,group stage,2010-06-17,France,Mexico,Peter Mokaba Stadium,Polokwane,35370.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8421428571428572,1.102642857142857,1.0,1.0,0.9041671428571427,171.1086389255962,,154.7108091755308,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_21,group stage,2010-06-18,Germany,Serbia,Nelson Mandela Bay Stadium,Port Elizabeth,38294.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9117619047619048,1.1235285714285714,1.0,1.0,0.9212934285714285,171.1086389255962,,157.64126461395313,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_22,group stage,2010-06-18,Slovenia,United States,Ellis Park Stadium,Johannesburg,45573.0,56000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8138035714285714,1.0941410714285713,1.0,1.0,0.8971956785714285,171.1086389255962,,153.51793141028384,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
